iter	Passed	Remaining
0	0	87
1	0	74
2	0	68
3	1	65
4	1	63
5	1	61
6	1	60
7	2	60
8	2	61
9	2	60
10	2	60
11	3	60
12	3	59
13	3	59
14	3	58
15	3	57
16	4	56
17	4	55
18	4	55
19	4	54
20	4	53
21	5	52
22	5	51
23	5	51
24	5	50
25	5	50
26	5	49
27	6	48
28	6	48
29	6	47
30	6	47
31	6	46
32	7	46
33	7	46
34	7	45
35	7	45
36	7	44
37	7	44
38	8	44
39	8	43
40	8	43
41	8	43
42	8	42
43	9	42
44	9	42
45	9	41
46	9	41
47	9	41
48	9	40
49	10	40
50	10	40
51	10	40
52	10	39
53	10	39
54	11	39
55	11	38
56	11	38
57	11	38
58	11	38
59	11	37
60	12	37
61	12	37
62	12	37
63	12	36
64	12	36
65	13	36
66	13	36
67	13	35
68	13	35
69	13	35
70	13	35
71	14	34
72	14	34
73	14	34
74	14	34
75	14	34
76	15	33
77	15	33
78	15	33
79	15	33
80	15	33
81	16	33
82	16	32
83	16	32
84	16	32
85	16	32
86	17	31
87	17	31
88	17	31
89	17	31
90	17	31
91	18	31
92	18	30
93	18	30
94	18	30
95	18	30
96	19	30
97	19	30
98	19	29
99	19	29
100	20	29
101	20	29
102	20	29
103	20	29
104	20	28
105	21	28
106	21	28
107	21	28
108	21	28
109	22	28
110	22	27
111	22	27
112	22	27
113	22	27
114	23	27
115	23	26
116	23	26
117	23	26
118	23	26
119	24	26
120	24	25
121	24	25
122	24	25
123	24	25
124	25	25
125	25	25
126	25	24
127	25	24
128	26	24
129	26	24
130	26	24
131	26	23
132	26	23
133	27	23
134	27	23
135	27	23
136	27	22
137	28	22
138	28	22
139	28	22
140	28	22
141	28	22
142	29	21
143	29	21
144	29	21
145	29	21
146	30	21
147	30	20
148	30	20
149	30	20
150	30	20
151	31	20
152	31	19
153	31	19
154	31	19
155	31	19
156	31	18
157	32	18
158	32	18
159	32	18
160	32	18
161	32	17
162	33	17
163	33	17
164	33	17
165	33	17
166	33	16
167	34	16
168	34	16
169	34	16
170	34	16
171	34	15
172	35	15
173	35	15
174	35	15
175	35	14
176	35	14
177	35	14
178	36	14
179	36	14
180	36	13
181	36	13
182	36	13
183	37	13
184	37	13
185	37	12
186	37	12
187	37	12
188	38	12
189	38	12
190	38	11
191	38	11
192	38	11
193	39	11
194	39	11
195	39	10
196	39	10
197	39	10
198	40	10
199	40	10
200	40	9
201	40	9
202	40	9
203	41	9
204	41	9
205	41	8
206	41	8
207	41	8
208	42	8
209	42	8
210	42	7
211	42	7
212	42	7
213	43	7
214	43	7
215	43	6
216	43	6
217	43	6
218	44	6
219	44	6
220	44	5
221	44	5
222	44	5
223	45	5
224	45	5
225	45	4
226	45	4
227	45	4
228	46	4
229	46	4
230	46	3
231	46	3
232	46	3
233	46	3
234	47	3
235	47	2
236	47	2
237	47	2
238	47	2
239	48	2
240	48	1
241	48	1
242	48	1
243	48	1
244	49	1
245	49	0
246	49	0
247	49	0
248	49	0
249	49	0
